home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Cobreloa,Everton de Vina,1.0,2.0,complete,1714944600,M. Vergara,64.0,36.0,9.0,4.0,2.0,4.0,1.0,1.0,0,1.0,1.0
O'Higgins,A. Italiano,0.0,5.0,complete,1714953600,H. Jona,55.0,45.0,6.0,7.0,3.0,2.0,1.2,2.81,0,1.0,1.0
Huachipato,Union Espanola,2.0,2.0,complete,1715445000,R. Carvajal,61.0,39.0,8.0,4.0,4.0,5.0,1.0,1.0,0,1.0,1.0
U. Catolica,O'Higgins,3.0,2.0,complete,1715463000,M. Riquelme,55.0,45.0,6.0,5.0,5.0,3.0,1.0,1.0,0,1.0,1.0
Everton de Vina,Cobresal,3.0,3.0,complete,1715472000,V. Abarzúa,46.0,54.0,6.0,6.0,4.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,Cobreloa,4.0,0.0,complete,1715531400,B. Saravia,50.0,50.0,8.0,5.0,1.0,3.0,1.0,1.0,0,1.0,1.0
A. Italiano,Colo Colo,1.0,4.0,complete,1715540400,J. Lara,26.0,74.0,2.0,3.0,2.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,Nublense,2.0,1.0,complete,1715558400,G. Philippe,49.0,51.0,8.0,6.0,4.0,2.0,1.0,1.0,0,1.0,1.0
Union La Calera,Universidad de Chile,1.0,3.0,complete,1715641200,N. Millas,47.0,53.0,1.0,5.0,4.0,4.0,1.0,1.0,0,1.0,1.0
Everton de Vina,Deportes Copiapo,1.0,0.0,complete,1716049800,N. Gamboa,41.0,59.0,9.0,8.0,2.0,4.0,1.52,1.78,0,1.0,1.0
Cobreloa,Deportes Iquique,2.0,2.0,complete,1716058800,M. Araos,46.0,54.0,9.0,0.0,3.0,3.0,1.94,2.08,0,1.0,1.0
Universidad de Chile,U. Catolica,1.0,2.0,complete,1716067800,C. Garay,60.0,40.0,9.0,4.0,3.0,7.0,1.44,0.8,0,1.0,1.0
Nublense,O'Higgins,2.0,2.0,complete,1716136200,D. Rissios,53.0,47.0,2.0,3.0,2.0,1.0,1.23,1.1,0,1.0,1.0
Colo Colo,Palestino,2.0,0.0,complete,1716154200,D. Flores,63.0,37.0,1.0,2.0,5.0,3.0,1.54,1.05,0,1.0,1.0
Cobresal,Coquimbo Unido,2.0,3.0,complete,1716242400,H. Jona,65.0,35.0,6.0,2.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Huachipato,A. Italiano,0.0,1.0,complete,1716251400,J. Cabero,56.0,44.0,5.0,3.0,1.0,1.0,0.34,1.68,0,1.0,1.0
Palestino,Union Espanola,0.0,1.0,complete,1716579000,J. Lara,39.0,61.0,6.0,8.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Union La Calera,Coquimbo Unido,1.0,2.0,complete,1716591600,G. Philippe,53.0,47.0,4.0,4.0,2.0,5.0,1.0,1.0,0,1.0,1.0
Huachipato,Everton de Vina,1.0,0.0,complete,1716654600,F. Alveal,46.0,54.0,4.0,8.0,3.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,Colo Colo,0.0,3.0,complete,1716663600,P. Maza,36.0,64.0,2.0,8.0,2.0,0.0,1.0,1.0,0,1.0,1.0
U. Catolica,Cobreloa,4.0,1.0,complete,1716672600,B. Saravia,51.0,49.0,2.0,5.0,3.0,7.0,1.0,1.0,0,1.0,1.0
O'Higgins,Cobresal,2.0,2.0,complete,1716681600,F. Vejar,63.0,37.0,9.0,2.0,3.0,4.0,1.0,1.0,0,1.0,1.0
Deportes Copiapo,A. Italiano,2.0,1.0,complete,1716750000,N. Millas,40.0,60.0,4.0,3.0,3.0,3.0,1.0,1.0,0,1.0,1.0
Universidad de Chile,Nublense,0.0,0.0,complete,1716759000,R. Carvajal,68.0,32.0,13.0,0.0,1.0,5.0,1.0,1.0,0,1.0,1.0
Cobreloa,O'Higgins,0.0,4.0,complete,1717201800,N. Gamboa,54.0,46.0,3.0,4.0,2.0,3.0,1.0,1.0,0,1.0,1.0
Union Espanola,Deportes Iquique,4.0,3.0,complete,1717277400,J. Cabero,46.0,54.0,2.0,4.0,1.0,2.0,1.0,1.0,0,1.0,1.0
