l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
1.0,1.5,0.5,38.0,0.8300000000000001,1.0,1.5,1.5,43.5,1.6549999999999998,2,1,2,1.0,4.0
1.0,1.5,1.5,41.5,0.9750000000000001,0.0,1.0,0.0,71.5,0.9550000000000001,0,3,1,2.0,8.0
0.5,3.0,0.0,31.5,0.37,1.0,1.0,1.5,49.5,1.11,1,1,1,8.0,6.0
1.0,0.5,2.0,44.0,1.875,1.0,4.0,0.0,43.5,1.2149999999999999,1,1,1,7.0,3.0
1.5,1.0,1.5,47.0,1.9249999999999998,3.0,0.5,3.0,63.5,2.0549999999999997,2,1,3,3.0,11.0
1.0,0.5,2.0,41.5,0.97,2.5,0.5,2.0,70.5,1.8050000000000002,0,2,1,7.0,12.0
3.0,2.0,1.5,54.0,1.345,0.5,2.0,0.0,56.0,1.26,1,1,1,4.0,4.0
1.0,1.0,1.5,53.5,1.9300000000000002,2.0,0.0,3.0,62.5,2.65,2,0,3,5.0,2.0
0.3333333333333333,1.6666666666666667,0.0,68.66666666666667,1.1600000000000001,0.6666666666666666,1.6666666666666667,1.0,53.333333333333336,1.7400000000000002,2,0,3,0.0,7.0
1.0,1.0,1.3333333333333333,50.0,1.0566666666666666,1.3333333333333333,1.6666666666666667,1.0,42.0,1.5266666666666666,1,1,1,3.0,2.0
2.3333333333333335,0.0,3.0,57.333333333333336,2.3633333333333333,1.0,0.6666666666666666,1.6666666666666667,46.666666666666664,1.5966666666666667,2,0,1,7.0,2.0
3.0,0.6666666666666666,3.0,65.0,2.3699999999999997,1.6666666666666667,1.3333333333333333,2.0,40.0,1.5766666666666669,0,2,1,12.0,3.0
2.0,0.6666666666666666,2.3333333333333335,58.0,1.7833333333333332,0.6666666666666666,2.3333333333333335,0.3333333333333333,37.333333333333336,0.39666666666666667,1,0,0,9.0,2.0
0.6666666666666666,1.6666666666666667,0.3333333333333333,49.666666666666664,1.02,1.0,1.6666666666666667,0.3333333333333333,44.666666666666664,0.7033333333333335,1,2,2,5.0,2.0
1.3333333333333333,1.3333333333333333,2.0,43.0,1.6199999999999999,0.6666666666666666,3.3333333333333335,0.0,38.0,1.14,0,3,2,6.0,2.0
1.6666666666666667,1.3333333333333333,1.6666666666666667,46.333333333333336,1.8999999999999997,2.3333333333333335,1.6666666666666667,1.3333333333333333,57.0,1.6866666666666668,2,0,1,6.0,3.0
2.0,1.0,1.3333333333333333,69.0,1.6233333333333333,1.6666666666666667,0.3333333333333333,2.3333333333333335,50.0,1.3966666666666665,2,0,1,7.0,6.0
1.0,3.0,0.3333333333333333,45.0,1.0566666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,39.0,1.2566666666666666,2,1,2,4.0,7.0
1.25,1.5,1.0,42.75,1.335,2.0,1.25,1.75,59.5,1.4600000000000002,2,0,3,6.0,5.0
1.0,1.0,1.25,51.25,1.1775,1.5,0.75,2.5,42.0,1.3225,0,3,1,6.0,0.0
1.75,0.25,2.25,60.25,2.0075,1.25,1.25,1.25,43.0,1.8699999999999999,0,3,0,3.0,9.0
0.25,2.0,0.0,62.5,1.1500000000000001,0.5,1.75,0.5,35.75,0.385,1,1,1,2.0,10.0
1.25,1.75,0.5,41.75,0.8350000000000001,1.0,3.25,0.0,35.25,1.08,1,1,1,6.0,1.0
1.5,1.0,1.0,67.75,1.395,1.5,1.5,1.5,41.5,1.4225,0,3,1,9.0,4.0
1.75,1.5,2.25,50.5,1.7449999999999999,1.0,2.75,0.25,46.0,1.1,0,3,1,6.0,5.0
1.0,1.75,0.5,54.0,1.4024999999999999,1.25,1.25,1.5,54.0,1.9725000000000001,1,0,0,4.0,11.0
1.5,0.5,2.0,60.75,1.7525,1.0,0.5,2.0,42.75,1.3075,1,2,2,9.0,1.0
2.75,0.75,3.0,62.25,2.32,1.5,0.25,2.5,46.5,1.2325,1,2,2,8.0,2.0
1.4,1.2,2.0,45.8,1.366,2.6,1.0,2.6,65.2,2.292,1,1,1,5.0,6.0
1.6,0.6,2.2,41.8,1.1199999999999999,1.2,1.6,0.6,45.2,0.8,0,4,2,17.0,0.0
1.0,2.8,0.2,36.4,1.084,0.8,1.4,0.6,49.8,1.3239999999999998,0,2,1,5.0,8.0
2.2,1.0,2.0,57.0,1.6060000000000003,1.6,0.8,1.8,62.6,1.6019999999999999,0,4,2,8.0,2.0
1.4,1.8,1.2,43.6,1.298,1.0,1.8,0.8,44.8,1.238,1,1,1,7.0,6.0
1.2,0.8,1.8,40.2,1.33,1.4,1.0,1.6,48.8,1.4,2,0,1,6.0,5.0
1.0,2.8,0.2,46.2,0.982,2.0,0.2,2.4,60.0,2.018,2,1,2,2.0,10.0
0.6,1.6,0.6,37.8,0.646,2.0,1.4,2.4,51.0,1.7419999999999998,1,2,2,10.0,0.0
1.0,1.0,1.4,56.6,1.918,1.8,1.0,1.4,63.8,1.8199999999999998,2,0,3,5.0,3.0
1.0,1.6,1.0,42.6,1.7119999999999997,0.4,1.8,0.2,60.8,1.4180000000000001,0,3,1,6.0,4.0
0.8,1.4,0.6,51.0,1.2799999999999998,2.0,0.4,2.4,58.6,1.996,2,0,1,3.0,8.0
2.0,1.0,2.2,46.2,1.796,0.6,2.2,0.2,57.2,1.184,0,3,1,13.0,1.0
1.4,2.2,0.4,44.2,0.654,1.4,1.6,1.4,41.2,1.7440000000000002,0,1,0,0.0,9.0
1.0,1.6,1.0,43.0,0.944,1.0,1.6,0.8,39.0,0.792,0,4,1,5.0,5.0
2.4,1.2,2.2,67.2,2.32,1.6,0.8,2.2,51.6,1.5779999999999998,0,3,2,8.0,3.0
1.2,1.8,0.8,45.8,1.0539999999999998,1.2,2.8,0.2,45.8,1.014,0,5,3,10.0,3.0
1.4,2.4,0.8,36.8,1.172,1.4,1.4,1.6,49.0,1.6300000000000001,1,0,0,0.0,10.0
3.0,1.0,2.6,55.6,2.2359999999999998,1.0,0.8,1.6,37.8,1.23,1,1,1,11.0,3.0
2.0,1.6,2.0,52.6,1.5,0.8,1.6,0.8,53.4,1.624,1,0,0,6.0,3.0
1.4,1.6,1.2,62.0,1.538,2.2,0.8,1.8,62.0,2.502,0,3,2,4.0,7.0
1.8,1.4,1.2,59.6,2.284,1.4,1.8,1.0,45.2,1.424,0,4,1,13.0,5.0
0.6,1.2,1.0,52.2,1.45,2.2,2.0,1.4,47.2,1.832,0,2,1,9.0,2.0
1.2,1.2,1.6,50.4,1.7020000000000004,1.6,1.8,1.2,60.6,1.472,2,0,1,9.0,4.0
1.6,1.2,1.6,49.2,1.7420000000000002,2.0,1.2,2.2,55.6,1.344,2,1,3,6.0,11.0
0.8,2.6,0.2,52.4,1.286,1.4,1.8,1.0,43.8,0.69,2,2,3,10.0,6.0
1.0,1.6,0.8,43.4,0.8640000000000001,1.4,1.6,1.0,37.4,1.106,2,0,2,5.0,7.0
1.2,1.6,1.2,44.6,1.7240000000000002,2.2,1.2,2.2,45.8,2.1879999999999997,0,2,0,7.0,4.0
1.4,2.6,0.2,49.0,0.8320000000000001,2.2,1.4,2.2,63.8,1.966,2,1,2,1.0,18.0
1.8,0.4,2.4,59.6,1.746,2.0,0.8,2.2,56.8,2.3920000000000003,0,2,1,1.0,5.0
1.0,1.0,1.2,37.6,0.914,0.8,1.2,0.6,45.8,1.138,0,1,0,6.0,6.0
1.8,1.8,1.6,43.8,1.242,1.0,0.8,1.6,37.2,1.058,2,1,3,6.0,7.0
2.0,1.4,2.2,65.8,1.69,1.0,2.6,0.2,48.2,1.402,0,1,0,12.0,1.0
1.6,1.6,1.6,55.8,1.33,1.4,2.8,0.0,43.8,0.8779999999999999,1,2,2,9.0,6.0
1.8,2.2,0.8,49.8,1.448,0.8,1.8,0.6,44.6,1.0239999999999998,0,4,3,4.0,5.0
2.2,1.2,2.2,56.8,1.3699999999999999,1.0,1.2,1.2,43.8,1.6440000000000001,1,1,1,9.0,7.0
1.4,1.0,1.6,37.0,1.06,1.6,1.6,1.4,49.4,1.908,1,1,1,4.0,2.0
1.4,2.0,1.0,47.4,1.434,1.0,0.8,1.6,51.6,1.4440000000000002,0,2,1,6.0,5.0
2.0,1.0,2.0,55.6,2.116,0.8,1.2,1.0,55.6,1.7399999999999998,0,2,1,7.0,4.0
0.6,1.2,0.4,48.4,1.2239999999999998,2.4,1.2,1.8,57.8,2.416,0,1,0,8.0,8.0
2.0,1.4,2.0,48.8,1.908,1.6,0.6,2.4,58.8,1.7759999999999998,1,2,2,1.0,3.0
0.6,1.4,0.4,55.4,1.798,2.2,1.8,1.6,50.6,1.9440000000000002,0,1,0,4.0,6.0
1.2,1.2,1.4,45.8,1.35,1.8,1.2,2.2,66.4,1.846,0,2,1,3.0,10.0
2.0,0.8,2.6,56.0,1.75,2.0,2.0,1.6,52.2,1.2600000000000002,0,2,1,9.0,7.0
1.0,2.2,0.2,48.0,1.2200000000000002,1.2,0.6,1.8,39.6,1.038,0,1,0,3.0,6.0
1.4,2.6,0.4,45.4,1.214,1.6,2.0,1.4,50.0,1.1480000000000001,1,1,1,4.0,6.0
1.4,1.0,1.6,38.2,1.316,1.6,2.0,1.4,47.0,1.8820000000000001,0,3,0,10.0,6.0
1.6,2.8,0.2,43.8,0.9040000000000001,0.4,0.8,0.8,41.8,0.8700000000000001,1,2,2,3.0,6.0
2.4,1.2,1.8,58.2,2.4219999999999997,1.8,1.0,1.8,53.6,1.3079999999999998,0,4,1,6.0,4.0
0.6,1.2,1.0,51.8,1.3780000000000001,2.2,1.2,2.0,52.2,2.2819999999999996,1,1,1,4.0,8.0
1.6,1.6,1.4,50.4,1.8519999999999999,2.4,2.4,1.4,53.6,2.0759999999999996,0,2,1,11.0,3.0
1.8,2.6,0.4,45.8,1.108,1.0,2.0,0.6,50.2,0.8699999999999999,0,2,0,1.0,9.0
1.6,2.0,1.4,45.8,1.7380000000000002,1.0,0.6,1.6,38.4,1.1300000000000001,1,0,0,7.0,6.0
0.8,1.2,0.8,43.8,1.17,1.4,1.6,1.4,56.2,1.668,2,0,2,1.0,8.0
