l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
0.8,0.8,1.4,47.0,1.4120000000000001,1.8,1.2,1.6,52.2,2.0160000000000005,0,1.0,1.0,1,0.0,0.0,11.0,2.0
1.6,0.8,1.6,63.6,1.812,1.6,1.6,1.4,45.0,1.09,0,1.0,1.0,0,4.0,0.0,5.0,0.0
1.0,1.4,1.4,42.2,1.134,0.6,1.2,0.6,45.2,1.002,0,1.0,1.0,1,3.0,3.0,5.0,7.0
0.8,1.8,0.8,44.2,1.4140000000000001,1.0,1.0,1.4,43.4,1.556,0,1.0,1.0,1,1.0,1.0,10.0,2.0
1.4,1.2,1.6,53.6,1.502,1.0,2.2,0.8,48.6,1.016,0,1.0,1.0,2,1.0,3.0,6.0,3.0
1.6,2.2,0.8,55.8,1.984,1.8,1.6,1.6,41.8,2.6180000000000003,0,1.0,1.0,0,3.0,0.0,4.0,5.0
1.4,0.8,1.4,49.8,1.328,1.2,0.6,2.0,60.8,1.0559999999999998,0,1.0,1.0,2,0.0,1.0,5.0,5.0
1.2,0.8,1.6,53.4,1.28,0.8,1.2,1.0,58.6,1.116,0,1.0,1.0,0,4.0,0.0,7.0,1.0
1.8,0.2,2.0,63.8,1.8539999999999999,1.6,0.8,1.8,55.6,2.016,0,1.0,1.0,0,2.0,0.0,4.0,2.0
1.2,1.6,1.0,55.0,1.2559999999999998,1.2,1.4,0.8,44.0,1.002,0,1.0,1.0,0,2.0,1.0,5.0,1.0
1.4,2.2,1.2,44.8,1.09,0.8,2.0,0.4,47.2,1.4140000000000001,0,1.0,1.0,0,1.0,0.0,5.0,3.0
1.2,1.6,1.4,43.6,2.338,1.6,0.8,1.6,54.6,1.28,0,1.0,1.0,0,3.0,1.0,7.0,4.0
1.2,2.4,0.8,44.8,1.016,1.6,1.6,1.6,43.4,1.134,0,1.0,1.0,1,1.0,1.0,7.0,4.0
1.0,0.8,1.6,43.4,1.094,0.6,0.8,0.8,47.6,1.222,0,1.0,1.0,2,1.0,2.0,4.0,7.0
1.4,0.4,2.6,60.2,1.056,0.8,0.6,1.6,45.6,1.4120000000000001,0,1.0,1.0,0,2.0,1.0,12.0,4.0
0.8,1.4,1.0,56.2,1.214,2.0,1.4,1.4,55.2,1.968,0,1.0,1.0,1,2.0,2.0,3.0,4.0
0.8,1.6,0.4,46.0,1.494,2.2,0.0,2.6,62.8,1.8539999999999999,0,1.0,1.0,2,0.0,1.0,6.0,4.0
1.4,1.2,1.0,56.0,1.28,1.4,1.6,1.4,58.4,1.2719999999999998,0,1.0,1.0,1,2.0,2.0,2.0,7.0
