home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Universidad de Concepcion,Deportes Temuco,0.0,0.0,complete,1715637600,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Rangers de Talca,2.0,4.0,complete,1715646600,H. Jona,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Santiago Morning,2.0,2.0,complete,1715814000,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Union San Felipe,3.0,0.0,complete,1716048000,B. Saravia,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Barnechea,0.0,1.0,complete,1716058800,F. Vejar,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Deportes Santa Cruz,1.0,2.0,complete,1716076800,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Magallanes,2.0,1.0,complete,1716136200,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Curico Unido,2.0,2.0,complete,1716145200,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Universidad de Concepcion,1.0,2.0,complete,1716165000,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,San Marcos de Arica,1.0,3.0,complete,1716251400,R. Rivera,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Rangers de Talca,0.0,0.0,complete,1716652800,C. Garay,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Union San Felipe,2.0,1.0,complete,1716663600,N. Gamboa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Antofagasta,1.0,2.0,complete,1716741000,D. Seguel,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Deportes Temuco,2.0,1.0,complete,1716741000,N. Pozo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Santiago Morning,2.0,1.0,complete,1716750000,M. Vergara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Deportes Limache,1.0,1.0,complete,1716768000,J. Cabero,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Universidad de Concepcion,0.0,0.0,complete,1716847200,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,San Luis,1.0,0.0,complete,1716856200,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
